Tweet ID,Text,label
1242553623260868608,"Are we still allowed to quote ancient Chinese proverbs, or is that racist? RacismIsAVirus",0
1246508137638580225, More power to you! This Chinese virus thing have really shown us who are the crazies and low IQ people are. I went to Sam is Club and Costco this morning and both stores had lines that wrapped around the building to get inside. Fuck that! I left disappointed at humanity.,0
1233468243534372865,"CNBC: WHO, Tedros reiterated that the virus could still turn into a pandemic. He urged against fear and panic, adding, ""our greatest enemy right now is not the virus itself. It is fear, rumors and stigma."" via ",0
1243626072387747841,"""The heightened racism experienced by Asian communities is surprising to many people because beliefs in racial progress are widespread in American society."" is and COVID19 RacismIsAVirus StrongerTogether AsianAmericans",1
1225611530978217989,"Coronavirus and Nepali in China: KP Oli has directed officials to bring back Nepali in Wuhan, China and Keep them s… ",0
1238081115182764032,"IamNotAVirus - heard of it ? Why use this image for an article about COVID19 ""patients outside China""? ",1
1246282568414179329," You have proven over the past 3 years that you hate Americans, and America! You place our country at risk. You were too busy with the fake impeachment to worry about the Chinese virus! Now you and Pelosi want to try again, with our money!",0
1232094383924707328, Fact: Coronavirus will probably come to the US because it will become a world pandemic Fact: The legacy media and democrats will try and blame you for this Fact: You ought to preempt them. China is a commie nation and you have a narrow window to make that abundantly clear.,0
1238072679694864384,for the last fucking time.... CORONAVIRUS IS NO EXCUSE TO BE RACIST AGAINST ASIANS ,1
1245152684820348929, I think your campaign slogan should be MAMA - Make America Manufacture Again....need to make stuff here in America after what is happening with this Chinese virus ...open our eyes on dependence to another country,0
1245357525400051712,"Fuck You, China. (Covid19) via Exactly my thoughts! They must be held accountable! ChineseVirus",2
1245999294139772928,"Anyone else do a sneaky fist pump when every recycle bin in the street goes thud, and yours puts pressure on the wagons hydraulics and goes chink, chink with all the bottles? Or is it just me?",0
1230523783708061696,Well no shit. coronavirus ,0
1237480830097862658,"Hoping April 1st come around and all the news broadcasts will be like ""APRIL FOOLS.. The Coronavirus isnt real it was a joke"" Just a shit ton of old china men come out behind a curtain",0
1247596322657570823, Most disgusting. These media are just as morally bankrupt as the ChinaCommunistParty. ChinaLiedPeopleDied,0
1244721630351327232,I am tweeting to Support IAmNotAVirus hashtag ; respect for Asian Americans ; All Americans  ,1
1230394065004453888,Another Wuhan hospital chief 'is hospitalised after contracting coronavirus while treating patients' CoronavirusOutbreak ,0
1230515621315710977, I barback on the weekends and I hear that stupid shit all the time to the point where I wish we actually had the coronavirus in a bottle ,0
1226914308270981128,Are you worried about the Coronavirus? coronavirus,0
1244262818595000325,I am losing my mind  quarantine is making me mad. Chinese douchebags ate shit infected everyone with this ChineseVirus and now the whole world is suffering for them. Bloody shitbags! Bloody ban china ban Chinese people! Coronavirus,2
1230292697694580736,The Gray Plague: What The Fuck Is Going On In Qom? CoronaVirus WuFlu ,0
1244844999566446592,CCP China doing all types of shady ; evil shit: No one bats an eye Trump call a virus started in China the ChineseVirus:  ChinaLiedPeopleDie CCPLiedPeopleDied ,2
1244398148174438400, so much for it being the Chinese virus..yo ass sponsored the fucking country is quarantine ,0
1235395447214288897,"Husband, I am SORRY you got what the rest of us had (not coronavirus!!) But after tending to 3 little groaning people and blowing my own nose with scratchy TP for 2 weeks, I can not get it up for your sickness. I am flaccid. I am sorry. Your wife.",0
1234510147667365888,Coronavirus Election Puts the Democrats In a Difficult Spot ,2
1233532837179072517,Have you ever seen anyone praying for death to Americans more than ,0
